start_id,type,end_id
C_11E662DAA2,PREREQUISITE_FOR,C_PERFORMANCE_AND_COMPENSATION_MANAGEMENT
C_69951CC506,PREREQUISITE_FOR,C_A19D9B1FA0
C_69951CC506,PREREQUISITE_FOR,C_CCAD558C3A
C_69951CC506,PREREQUISITE_FOR,C_E838CD7C73
C_69951CC506,PREREQUISITE_FOR,C_X_6604FB81AD
C_69951CC506,PREREQUISITE_FOR,C_X_AF10B7B7E0
C_A,PREREQUISITE_FOR,C_ALGORITHM_DESIGN
C_A,PREREQUISITE_FOR,C_A_3
C_A,PREREQUISITE_FOR,C_JAVA
C_A,PREREQUISITE_FOR,C_PROGRAMMING
C_A,PREREQUISITE_FOR,C_R2_79D847C46D
C_A,PREREQUISITE_FOR,C_R2_VC_WINDOWS
C_A,PREREQUISITE_FOR,C_X_14DB252ECE
C_A19D9B1FA0,PREREQUISITE_FOR,C_67BBECAD20
C_A19D9B1FA0,PREREQUISITE_FOR,C_C1E8F6591E
C_AI,PREREQUISITE_FOR,C_I
C_AI,PREREQUISITE_FOR,C_X_150D18F02F
C_AI,PREREQUISITE_FOR,C_X_17422D8401
C_AI,PREREQUISITE_FOR,C_X_8667DDBC69
C_AI,PREREQUISITE_FOR,C_X_B3010246DD
C_AI,PREREQUISITE_FOR,C_X_D1F6E466C4
C_AI_2,PREREQUISITE_FOR,C_I
C_AI_2,PREREQUISITE_FOR,C_X_150D18F02F
C_AI_2,PREREQUISITE_FOR,C_X_17422D8401
C_AI_2,PREREQUISITE_FOR,C_X_8667DDBC69
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_AI
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_COMPUTATION_AND_COMPLEXITY
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_FUNDAMENTALS_OF_COMPUTER_SYSTEMS
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_MACHINE_LEARNING
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_R2_ADVANCED_COMPUTER_SYSTEMS
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_R2_COMPLEXITY_IN_COMPUTER_ALGEBRA
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_R2_COMPLEXITY_THEORY
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_R2_INTERMEDIATE_PROGRAMMING
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_X_0B5B3B8A99
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_X_8C6547DA92
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_X_AC5F2C89BA
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_X_BF8B95A282
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_X_C965CE1BB7
C_ALGORITHM_DESIGN,PREREQUISITE_FOR,C_X_D63A9F6931
C_ANCIENT_CHINESE,PREREQUISITE_FOR,C_R2_18F8EE7DC1
C_ANCIENT_CHINESE,PREREQUISITE_FOR,C_R2_48404165CB
C_ANCIENT_CHINESE,PREREQUISITE_FOR,C_R2_79B4ABF161
C_ANCIENT_CHINESE,PREREQUISITE_FOR,C_X_31D94590BA
C_ANCIENT_CHINESE,PREREQUISITE_FOR,C_X_3A622EFC08
C_ANCIENT_CHINESE,PREREQUISITE_FOR,C_X_76406A94D3
C_ANCIENT_CHINESE,PREREQUISITE_FOR,C_X_7A25A537FB
C_ANCIENT_CHINESE,PREREQUISITE_FOR,C_X_7B48454C9D
C_ANCIENT_CHINESE,PREREQUISITE_FOR,C_X_A3CBC04AAA
C_ANCIENT_CHINESE,PREREQUISITE_FOR,C_X_B015125BE7
C_APPLIED_REGRESSION,PREREQUISITE_FOR,C_X_7E11652CF0
C_ARCHIVES_MANAGEMENT,PREREQUISITE_FOR,C_A19D9B1FA0
C_ARCHIVES_MANAGEMENT,PREREQUISITE_FOR,C_CCAD558C3A
C_ARCHIVES_MANAGEMENT,PREREQUISITE_FOR,C_E838CD7C73
C_ARCHIVES_MANAGEMENT,PREREQUISITE_FOR,C_X_6604FB81AD
C_ARCHIVES_MANAGEMENT,PREREQUISITE_FOR,C_X_AF10B7B7E0
C_A_2,PREREQUISITE_FOR,C_X_3B67A34B6B
C_A_2,PREREQUISITE_FOR,C_X_3DCBF118CB
C_A_2,PREREQUISITE_FOR,C_X_45912B5625
C_A_2,PREREQUISITE_FOR,C_X_52AABA3DAA
C_A_2,PREREQUISITE_FOR,C_X_57DF90A8AF
C_A_3,PREREQUISITE_FOR,C_ALGORITHM_DESIGN
C_A_3,PREREQUISITE_FOR,C_A_7
C_A_3,PREREQUISITE_FOR,C_DATA_STRUCTURE
C_A_3,PREREQUISITE_FOR,C_X_14DB252ECE
C_A_3,PREREQUISITE_FOR,C_X_3B67A34B6B
C_A_3,PREREQUISITE_FOR,C_X_3DCBF118CB
C_A_3,PREREQUISITE_FOR,C_X_45912B5625
C_A_3,PREREQUISITE_FOR,C_X_52AABA3DAA
C_A_3,PREREQUISITE_FOR,C_X_57DF90A8AF
C_A_4,PREREQUISITE_FOR,C_ALGORITHM_DESIGN
C_A_4,PREREQUISITE_FOR,C_A_3
C_A_4,PREREQUISITE_FOR,C_X_14DB252ECE
C_A_7,PREREQUISITE_FOR,C_AI
C_A_7,PREREQUISITE_FOR,C_MACHINE_LEARNING
C_A_7,PREREQUISITE_FOR,C_R2_INTERMEDIATE_PROGRAMMING
C_A_7,PREREQUISITE_FOR,C_X_8C6547DA92
C_CCAD558C3A,PREREQUISITE_FOR,C_67BBECAD20
C_CCAD558C3A,PREREQUISITE_FOR,C_C1E8F6591E
C_CHINESE_ANCIENT_HISTORY,PREREQUISITE_FOR,C_R2_18449A7938
C_CHINESE_ANCIENT_HISTORY,PREREQUISITE_FOR,C_R2_50BBC65072
C_CHINESE_ANCIENT_HISTORY,PREREQUISITE_FOR,C_R2_CB4B521172
C_CHINESE_ANCIENT_HISTORY,PREREQUISITE_FOR,C_R2_CCABDC7157
C_CHINESE_ANCIENT_HISTORY,PREREQUISITE_FOR,C_X_463749F9B3
C_CHINESE_ANCIENT_HISTORY,PREREQUISITE_FOR,C_X_492260CB58
C_CHINESE_ANCIENT_HISTORY,PREREQUISITE_FOR,C_X_6BC6260800
C_CHINESE_ANCIENT_HISTORY,PREREQUISITE_FOR,C_X_9CD3952588
C_CHINESE_ANCIENT_HISTORY,PREREQUISITE_FOR,C_X_D8E219EB94
C_CHINESE_MODERN_HISTORY,PREREQUISITE_FOR,C_R2_18449A7938
C_CHINESE_MODERN_HISTORY,PREREQUISITE_FOR,C_R2_CB4B521172
C_CHINESE_MODERN_HISTORY,PREREQUISITE_FOR,C_R2_CCABDC7157
C_CHINESE_MODERN_HISTORY,PREREQUISITE_FOR,C_X_492260CB58
C_CHINESE_MODERN_HISTORY,PREREQUISITE_FOR,C_X_6BC6260800
C_CHINESE_MODERN_HISTORY,PREREQUISITE_FOR,C_X_9CD3952588
C_COGNITIVE_PSYCHOLOGY,PREREQUISITE_FOR,C_R2_AAC043FE7E
C_COGNITIVE_PSYCHOLOGY,PREREQUISITE_FOR,C_X_0D3699D35D
C_COGNITIVE_PSYCHOLOGY,PREREQUISITE_FOR,C_X_ADC7CD603A
C_COMMUNICATION,PREREQUISITE_FOR,C_R2_3243B25FF8
C_COMMUNICATION,PREREQUISITE_FOR,C_R2_988D6D4BBB
C_COMPARATIVE_AND_INTERNATIONAL_SOCIAL_POLICY,PREREQUISITE_FOR,C_X_9017ACCEC9
C_COMPUTER_NETWORKS,PREREQUISITE_FOR,C_I
C_COMPUTER_NETWORKS,PREREQUISITE_FOR,C_R2_NETWORK_SECURITY
C_COMPUTER_NETWORKS,PREREQUISITE_FOR,C_X_5C8091DCCA
C_COMPUTER_NETWORKS,PREREQUISITE_FOR,C_X_A52BCD6418
C_COMPUTER_NETWORKS,PREREQUISITE_FOR,C_X_B3010246DD
C_COMPUTER_NETWORKS,PREREQUISITE_FOR,C_X_B58687DB4F
