start_id,type,end_id
C_11E662DAA2,BELONGS_TO_MODULE,M_人力资源管理_hr-core
C_1D0786508B,BELONGS_TO_MODULE,M_人力资源管理_hr-core
C_20,BELONGS_TO_MODULE,M_汉语言文学_literary-theory
C_20_2,BELONGS_TO_MODULE,M_英语_area-studies
C_20_4,BELONGS_TO_MODULE,M_英语_area-studies
C_40_50,BELONGS_TO_MODULE,M_汉语言文学_literary-theory
C_45360D9B78,BELONGS_TO_MODULE,M_人力资源管理_hr-core
C_67BBECAD20,BELONGS_TO_MODULE,M_档案学_service
C_69951CC506,BELONGS_TO_MODULE,M_档案学_management
C_A,BELONGS_TO_MODULE,M_人工智能_math
C_A,BELONGS_TO_MODULE,M_计算机科学与技术_math
C_A19D9B1FA0,BELONGS_TO_MODULE,M_档案学_preservation
C_ADVANCED_PROGRAMMING,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_AI,BELONGS_TO_MODULE,M_人工智能_dl
C_AI,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_AI,BELONGS_TO_MODULE,M_金融学_markets
C_AI_2,BELONGS_TO_MODULE,M_人工智能_dl
C_AI_2,BELONGS_TO_MODULE,M_金融学_markets
C_AI_3,BELONGS_TO_MODULE,M_化学_advanced-chemistry
C_ALGORITHM_DESIGN,BELONGS_TO_MODULE,M_人工智能_programming
C_ALGORITHM_DESIGN,BELONGS_TO_MODULE,M_计算机科学与技术_data-structures
C_AMERICAN_POLITICS,BELONGS_TO_MODULE,M_国际政治_regions
C_ANCIENT_CHINESE,BELONGS_TO_MODULE,M_哲学_topics
C_ANCIENT_CHINESE,BELONGS_TO_MODULE,M_汉语言文学_language-basics
C_APPLIED_REGRESSION,BELONGS_TO_MODULE,M_统计学_mathematical-statistics
C_ARCHIVES_MANAGEMENT,BELONGS_TO_MODULE,M_档案学_management
C_A_2,BELONGS_TO_MODULE,M_人工智能_programming
C_A_3,BELONGS_TO_MODULE,M_人工智能_programming
C_A_3,BELONGS_TO_MODULE,M_数学与应用数学_topics
C_A_3,BELONGS_TO_MODULE,M_统计学_applied-statistics
C_A_3,BELONGS_TO_MODULE,M_计算机科学与技术_programming
C_A_4,BELONGS_TO_MODULE,M_人工智能_math
C_A_4,BELONGS_TO_MODULE,M_计算机科学与技术_math
C_A_5,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_A_6,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_A_7,BELONGS_TO_MODULE,M_计算机科学与技术_data-structures
C_A_8,BELONGS_TO_MODULE,M_物理学_specialty
C_B,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_BAYESIAN_INFERENCE,BELONGS_TO_MODULE,M_统计学_applied-statistics
C_BD9D5119DA,BELONGS_TO_MODULE,M_人力资源管理_hr-core
C_BEHAVIOURAL_SCIENCE_AND_GROUP_PROCESSES,BELONGS_TO_MODULE,M_工商管理_core-management
C_BIOLOGICAL_PSYCHOLOGY,BELONGS_TO_MODULE,M_应用心理学_domains
C_BRAIN_AND_BEHAVIOUR,BELONGS_TO_MODULE,M_应用心理学_domains
C_B_2,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_C,BELONGS_TO_MODULE,M_应用心理学_foundation
C_C1E8F6591E,BELONGS_TO_MODULE,M_档案学_service
C_CCAD558C3A,BELONGS_TO_MODULE,M_档案学_digital
C_CHAUCER_AND_HIS_LITERARY_BACKGROUND,BELONGS_TO_MODULE,M_英语_area-studies
C_CHINESE_ANCIENT_HISTORY,BELONGS_TO_MODULE,M_历史学_ancient-china
C_CHINESE_ANCIENT_HISTORY,BELONGS_TO_MODULE,M_哲学_topics
C_CHINESE_ANCIENT_HISTORY,BELONGS_TO_MODULE,M_新闻学_media-studies
C_CHINESE_ANCIENT_HISTORY,BELONGS_TO_MODULE,M_汉语言文学_literary-theory
C_CHINESE_ANCIENT_HISTORY,BELONGS_TO_MODULE,M_英语_area-studies
C_CHINESE_ANCIENT_HISTORY,BELONGS_TO_MODULE,M_行政管理_local-governance
C_CHINESE_ANCIENT_LITERATURE,BELONGS_TO_MODULE,M_历史学_ancient-china
C_CHINESE_ANCIENT_LITERATURE,BELONGS_TO_MODULE,M_哲学_topics
C_CHINESE_ANCIENT_LITERATURE,BELONGS_TO_MODULE,M_汉语言文学_literary-theory
C_CHINESE_MODERN_HISTORY,BELONGS_TO_MODULE,M_历史学_modern-china
C_CHINESE_MODERN_HISTORY,BELONGS_TO_MODULE,M_行政管理_local-governance
C_CLIMATE_CHANGE_POLITICS_AND_POLICY,BELONGS_TO_MODULE,M_国际政治_regions
