id,label,name
M_AI,Major,人工智能
M_ARCHIVES,Major,档案学
M_BUSINESS,Major,工商管理
M_CHEMISTRY,Major,化学
M_CHINESE_LITERATURE,Major,汉语言文学
M_CS,Major,计算机科学与技术
M_ECONOMICS,Major,经济学
M_ENGLISH,Major,英语
M_FINANCE,Major,金融学
M_HISTORY,Major,历史学
M_HRM,Major,人力资源管理
M_INTERNATIONAL_POLITICS,Major,国际政治
M_JOURNALISM,Major,新闻学
M_LAW,Major,法学
M_MATH,Major,数学与应用数学
M_PHILOSOPHY,Major,哲学
M_PHYSICS,Major,物理学
M_PSYCHOLOGY,Major,应用心理学
M_PUBLIC_ADMIN,Major,行政管理
M_SOCIOLOGY,Major,社会学
M_STATISTICS,Major,统计学
C_11E662DAA2,Course,员工培训与开发
C_1D0786508B,Course,招聘与配置
C_20,Course,20世纪中国美学
C_20_2,Course,20 世纪英国的小说与社会
C_20_4,Course,20世纪西方文论
C_40_50,Course,40-50年代作家研究
C_45360D9B78,Course,工作分析
C_67BBECAD20,Course,档案用户服务
C_69951CC506,Course,文献编纂学
C_A,Course,高等数学A
C_A19D9B1FA0,Course,档案安全管理
C_ACADEMIC_CHINESE_FOR_INTERNATIONAL_RELATIONS,Course,Academic Chinese for International Relations
C_ADVANCED_PROGRAMMING,Course,Advanced Programming
C_AI,Course,人工智能
C_AI_2,Course,AI中的数学
C_AI_3,Course,AI化学实践
C_ALGORITHM_DESIGN,Course,算法导论
C_AMERICAN_POLITICS,Course,American Politics
C_ANCIENT_CHINESE,Course,古代汉语
C_APPLIED_REGRESSION,Course,Applied Regression
C_ARCHIVES_MANAGEMENT,Course,档案管理学
C_ARTIFICIAL_INTELLIGENCE_AND_BIG_DATA_IN_POLITICS,Course,Artificial Intelligence and Big Data in Politics: A Few Provocative Debates
C_A_2,Course,计算概论A上机实习课
C_A_3,Course,计算概论A
C_A_4,Course,线性代数A
C_A_5,Course,物理实验A
C_A_6,Course,微积分A
C_A_7,Course,数据结构与算法A
C_A_8,Course,普通地质实习A
C_B,Course,物理实验B
C_BAYESIAN_INFERENCE,Course,Bayesian Inference
C_BD9D5119DA,Course,员工关系管理
C_BEHAVIOURAL_SCIENCE_AND_GROUP_PROCESSES,Course,Behavioural Science and Group Processes
C_BEHAVIOURAL_SCIENCE_IN_AN_AGE_OF_AI_AND_NEW_TECH,Course,Behavioural Science in an Age of AI and New Technology
C_BIOLOGICAL_PSYCHOLOGY,Course,Biological Psychology
C_BRAIN_AND_BEHAVIOUR,Course,Brain and Behaviour
C_B_2,Course,大学物理B
C_C,Course,高等数学C
C_C1E8F6591E,Course,档案检索
C_CCAD558C3A,Course,档案信息化
C_CHAUCER_AND_HIS_LITERARY_BACKGROUND,Course,Chaucer and his Literary Background
C_CHINA_SINCE_1800_CULTURE_INSTITUTIONS_AND_ECONOM,Course,"China since 1800: Culture, institutions and economic growth"
C_CHINESE_ANCIENT_HISTORY,Course,中国古代史
C_CHINESE_ANCIENT_LITERATURE,Course,中国古代文学史
C_CHINESE_MODERN_HISTORY,Course,中国近代史
C_CLIMATE_CHANGE_POLITICS_AND_POLICY,Course,Climate Change: Politics and Policy
C_CNS,Course,CNS解剖
C_COGNITIVE_PSYCHOLOGY,Course,认知心理学
C_COLONIAL_AND_POSTCOLONIAL_LITERATURES,Course,Colonial and Postcolonial Literatures
C_COMMUNICATION,Course,传播学概论
C_COMPARATIVE_AND_INTERNATIONAL_SOCIAL_POLICY,Course,Comparative and International Social Policy
C_COMPARATIVE_LITERATURE_AND_20TH_CENTURY_POLITICA,Course,Comparative Literature and 20th Century Political History
C_COMPARATIVE_POLITICS,Course,Comparative Politics
C_COMPUTATION_AND_COMPLEXITY,Course,Computation and Complexity
C_COMPUTATION_STRUCTURES,Course,Computation Structures
C_COMPUTER_NETWORKS,Course,计算机网络
C_COMPUTER_SCIENCE_AND_PROGRAMMING_IN_JAVA,Course,Computer Science and Programming in Java
C_COMPUTER_SCIENCE_MATHEMATICS,Course,Computer Science Mathematics
C_COMPUTER_SCIENCE_PROGRAMMING_IN_PYTHON,Course,Computer Science Programming in Python
C_COMPUTING_SYSTEMS,Course,Computing Systems
C_CONFLICT_AND_PEACEBUILDING,Course,Conflict and Peacebuilding
C_CONFLICT_COOPERATION_AND_CHANGE_INTRODUCTION_TO_,Course,"Conflict, Cooperation and Change: Introduction to International Relations"
C_CONSTITUTIONAL_LAW,Course,宪法学
C_CONTEMPORARY_ISSUES_IN_INTERNATIONAL_RELATIONS,Course,Contemporary Issues in International Relations
C_CONTEMPORARY_LITERATURE_AND_GLOBAL_SOCIETY,Course,Contemporary Literature and Global Society
C_CONTRACT_LAW,Course,合同法
C_CORPORATE_FINANCE,Course,公司金融
C_CORPORATE_SOCIAL_RESPONSIBILITY_AND_INTERNATIONA,Course,Corporate Social Responsibility and International Labour Standards
C_CRIMINAL_LAW,Course,刑法
C_CRITICISM_AND_THEORY,Course,Criticism and Theory
C_C_2,Course,C++语言程序设计
C_C_3,Course,计算概论C
C_D,Course,高等数学D
C_DATABASES,Course,数据库
C_DATA_ANALYSIS_FOR_SOCIAL_SCIENTISTS,Course,Data Analysis for Social Scientists
C_DATA_FOR_DATA_SCIENCE,Course,Data for Data Science
C_DATA_IN_SOCIETY_RESEARCHING_SOCIAL_LIFE,Course,Data in Society: Researching Social Life
C_DATA_SCIENCE_FOR_SOCIAL_SCIENTISTS,Course,Data Science for Social Scientists
C_DATA_STRUCTURE,Course,数据结构
C_DEMOCRACY_AND_AUTHORITARIANISM,Course,Democracy and Authoritarianism
C_DEVELOPMENTAL_PSYCHOLOGY,Course,发展心理学
C_DEVELOPMENT_ECONOMICS,Course,Development Economics
C_DIFFERENTIAL_EQUATIONS,Course,常微分方程
C_DISCOURSE_AND_COMMUNICATION,Course,Discourse and Communication
C_E838CD7C73,Course,档案法规
C_ECONOMETRICS,Course,计量经济学
C_ECONOMICS_PRINCIPLES,Course,经济学原理
C_ELECTROMAGNETISM,Course,电磁学
C_ELEMENTARY_STATISTICAL_THEORY,Course,Elementary Statistical Theory
C_EMPLOYMENT_LAW,Course,Employment Law
C_ENGLISH_LITERATURE_AND_SOCIETY,Course,English Literature and Society
C_EPISTEMOLOGY,Course,Epistemology
C_EUROPEAN_LITERATURE_AND_PHILOSOPHY,Course,European Literature and Philosophy
C_EUROPEAN_UNION_LAW,Course,European Union Law
C_EXTREMISM_AND_POPULISM,Course,Extremism and Populism
C_F,Course,f 区元素化学
C_F9B6A5FE41,Course,人力资源数据分析
C_FINANCE,Course,金融学
C_FINANCE_FOR_BSC_IN_FINANCE,Course,Finance for BSc in Finance
C_FIRMS_MANAGEMENT_AND_COMPETITIVE_ADVANTAGE,Course,"Firms, Management and Competitive Advantage"
C_FOUNDATIONS_OF_BEHAVIOURAL_SCIENCE,Course,Foundations of Behavioural Science
C_FOUNDATIONS_OF_SOCIAL_POLICY_RESEARCH,Course,Foundations of Social Policy Research
C_FROM_TEA_TO_OPIUM_CHINA_AND_THE_GLOBAL_MARKET_IN,Course,From Tea to Opium: China and the Global Market in the Long Eighteenth Century
C_FUNDAMENTALS_OF_COMPUTER_SYSTEMS,Course,Fundamentals of Computer Systems
C_FUNDAMENTALS_OF_DATA_SCIENCE,Course,Fundamentals of Data Science
C_GENDER_AND_SOCIETY,Course,Gender and Society
C_GENERAL_PSYCHOLOGY,Course,普通心理学
C_HISTORICAL_AND_GLOBAL_PERSPECTIVES_ON_PHILOSOPHY,Course,Historical and Global Perspectives on Philosophy
C_HISTORICAL_APPROACHES_TO_THE_MODERN_WORLD,Course,Historical Approaches to the Modern World
C_HISTORY_OF_FOREIGN_RELATIONS_OF_THE_PEOPLE_S_REP,Course,"History of Foreign Relations of the People's Republic of China, 1949-2008"
C_HRM,Course,人力资源管理
C_I,Course,人工智能系统实践I
C_II,Course,近现代物理导论II
C_III,Course,数学分析III
C_II_2,Course,高等代数II
C_II_3,Course,数学分析II
C_INFERENCE,Course,Inference
C_INFORMATION_SYSTEMS,Course,Information Systems
C_INORGANIC_CHEMISTRY,Course,无机化学
C_INTELLIGENT_DATA_SYSTEMS,Course,Intelligent Data Systems
