start_id,type,end_id
M_人力资源管理_compensation,MODULE_PREREQUISITE_FOR,M_人力资源管理_law-practice
M_人力资源管理_foundation,MODULE_PREREQUISITE_FOR,M_人力资源管理_ob
M_人力资源管理_hr-core,MODULE_PREREQUISITE_FOR,M_人力资源管理_compensation
M_人力资源管理_ob,MODULE_PREREQUISITE_FOR,M_人力资源管理_hr-core
M_人工智能_ai-intro,MODULE_PREREQUISITE_FOR,M_人工智能_ml
M_人工智能_ai-intro,MODULE_PREREQUISITE_FOR,M_人工智能_systems
M_人工智能_dl,MODULE_PREREQUISITE_FOR,M_人工智能_practice
M_人工智能_math,MODULE_PREREQUISITE_FOR,M_人工智能_programming
M_人工智能_ml,MODULE_PREREQUISITE_FOR,M_人工智能_dl
M_人工智能_programming,MODULE_PREREQUISITE_FOR,M_人工智能_ai-intro
M_人工智能_systems,MODULE_PREREQUISITE_FOR,M_人工智能_practice
M_化学_core-chemistry,MODULE_PREREQUISITE_FOR,M_化学_advanced-chemistry
M_化学_core-chemistry,MODULE_PREREQUISITE_FOR,M_化学_chemical-engineering
M_化学_core-chemistry,MODULE_PREREQUISITE_FOR,M_化学_laboratory
M_化学_general-chemistry,MODULE_PREREQUISITE_FOR,M_化学_core-chemistry
M_化学_math-physics,MODULE_PREREQUISITE_FOR,M_化学_general-chemistry
M_历史学_ancient-china,MODULE_PREREQUISITE_FOR,M_历史学_seminars
M_历史学_methods,MODULE_PREREQUISITE_FOR,M_历史学_ancient-china
M_历史学_methods,MODULE_PREREQUISITE_FOR,M_历史学_archaeology
M_历史学_methods,MODULE_PREREQUISITE_FOR,M_历史学_modern-china
M_历史学_methods,MODULE_PREREQUISITE_FOR,M_历史学_world-history
M_历史学_modern-china,MODULE_PREREQUISITE_FOR,M_历史学_seminars
M_历史学_world-history,MODULE_PREREQUISITE_FOR,M_历史学_seminars
M_哲学_ancient-western,MODULE_PREREQUISITE_FOR,M_哲学_modern-western
M_哲学_chinese-philosophy,MODULE_PREREQUISITE_FOR,M_哲学_topics
M_哲学_contemporary-western,MODULE_PREREQUISITE_FOR,M_哲学_philosophy-of-science
M_哲学_contemporary-western,MODULE_PREREQUISITE_FOR,M_哲学_topics
M_哲学_intro,MODULE_PREREQUISITE_FOR,M_哲学_ancient-western
M_哲学_intro,MODULE_PREREQUISITE_FOR,M_哲学_chinese-philosophy
M_哲学_intro,MODULE_PREREQUISITE_FOR,M_哲学_ethics-aesthetics
M_哲学_intro,MODULE_PREREQUISITE_FOR,M_哲学_logic
M_哲学_intro,MODULE_PREREQUISITE_FOR,M_哲学_marxism
M_哲学_logic,MODULE_PREREQUISITE_FOR,M_哲学_philosophy-of-science
M_哲学_marxism,MODULE_PREREQUISITE_FOR,M_哲学_topics
M_哲学_modern-western,MODULE_PREREQUISITE_FOR,M_哲学_contemporary-western
M_国际政治_international-economy,MODULE_PREREQUISITE_FOR,M_国际政治_methods
M_国际政治_ir-theory,MODULE_PREREQUISITE_FOR,M_国际政治_international-economy
M_国际政治_ir-theory,MODULE_PREREQUISITE_FOR,M_国际政治_regions
M_国际政治_ir-theory,MODULE_PREREQUISITE_FOR,M_国际政治_security
M_国际政治_politics,MODULE_PREREQUISITE_FOR,M_国际政治_ir-theory
M_国际政治_regions,MODULE_PREREQUISITE_FOR,M_国际政治_security
M_国际政治_security,MODULE_PREREQUISITE_FOR,M_国际政治_methods
M_工商管理_core-management,MODULE_PREREQUISITE_FOR,M_工商管理_entrepreneurship
M_工商管理_core-management,MODULE_PREREQUISITE_FOR,M_工商管理_specialization
M_工商管理_entrepreneurship,MODULE_PREREQUISITE_FOR,M_工商管理_practice
M_工商管理_foundation,MODULE_PREREQUISITE_FOR,M_工商管理_core-management
M_工商管理_specialization,MODULE_PREREQUISITE_FOR,M_工商管理_entrepreneurship
M_应用心理学_domains,MODULE_PREREQUISITE_FOR,M_应用心理学_applied
M_应用心理学_domains,MODULE_PREREQUISITE_FOR,M_应用心理学_clinical
M_应用心理学_foundation,MODULE_PREREQUISITE_FOR,M_应用心理学_methods
M_应用心理学_methods,MODULE_PREREQUISITE_FOR,M_应用心理学_domains
M_数学与应用数学_algebra-geometry,MODULE_PREREQUISITE_FOR,M_数学与应用数学_applied-math
M_数学与应用数学_algebra-geometry,MODULE_PREREQUISITE_FOR,M_数学与应用数学_probability
M_数学与应用数学_analysis,MODULE_PREREQUISITE_FOR,M_数学与应用数学_algebra-geometry
M_数学与应用数学_analysis,MODULE_PREREQUISITE_FOR,M_数学与应用数学_applied-math
M_数学与应用数学_analysis,MODULE_PREREQUISITE_FOR,M_数学与应用数学_probability
M_数学与应用数学_applied-math,MODULE_PREREQUISITE_FOR,M_数学与应用数学_topics
M_数学与应用数学_probability,MODULE_PREREQUISITE_FOR,M_数学与应用数学_applied-math
M_新闻学_digital-media,MODULE_PREREQUISITE_FOR,M_新闻学_media-business
M_新闻学_foundation,MODULE_PREREQUISITE_FOR,M_新闻学_media-studies
M_新闻学_foundation,MODULE_PREREQUISITE_FOR,M_新闻学_practice
M_新闻学_media-studies,MODULE_PREREQUISITE_FOR,M_新闻学_digital-media
